date,Close_d,High_d,Low_d,Open_d,Volume_d,RSI_d,MACD_d,BB_width_d,ROC_d,polarity_company,polarity_company_max,polarity_market,polarity_market_max,subjectivity,Close
2020-01-28,12128.94212221153,12211.800803908818,12100.981239626992,12179.583646534202,448585.1440273442,55.05950251071176,-9.00434224831588,0.034965429297695264,-0.014603443818050899,0.0,0.0,0.0425289995303958,-0.9659177660942078,0.5,12055.7998046875
2020-01-29,12117.376394298644,12180.980705691289,12083.482080819593,12144.364772572342,497186.1198668419,43.5742565630016,-14.204084034992775,0.03554653360890465,-0.30870395951351215,0.0,0.0,0.1345693709910847,-0.9676957726478576,0.5,12129.5
2020-01-30,12000.663048035187,12103.89367698172,11987.173224700204,12091.507540132163,603938.8792376829,27.939157725684055,-27.42655227024443,0.03846582534502462,-1.671893901376964,0.0,0.0,0.0782024620451254,-0.966849684715271,0.5,12035.7998046875
2020-01-31,11887.373458952445,12018.242162719924,11873.110009739728,12008.862724347413,708918.3344162726,17.283819456490747,-46.510828765769475,0.04438912520709153,-2.324751137215797,0.0,0.0,0.0613453373950612,-0.964024305343628,0.5,11962.099609375
2020-02-03,11869.008935591351,11936.620207966613,11762.12527765166,11829.077447982188,693672.2163477434,14.040489154194958,-62.397835533054604,0.04946607627445098,-2.0753338050897296,0.0,0.0,-0.0333520285547918,-0.9677393436431884,0.5,11707.900390625
2020-02-04,11914.644361962828,11911.671256940339,11726.679250050933,11720.355513171422,636474.8773419157,19.603731643278664,-70.49340128938093,0.051057387822032695,-1.7668297703907987,-0.0108897387981414,-0.0108897387981414,0.1189719948230222,-0.9552831053733826,0.8832608461380005,11979.650390625
2020-02-05,12047.124649466345,12046.360800041586,11910.215323112272,11924.501180321453,620773.8673044845,31.223858228084836,-65.46450934560198,0.05118338658480156,-0.579760358565351,0.9296942949295044,0.9296942949295044,0.1175790761306058,-0.9617842435836792,0.9490777850151062,12089.150390625
2020-02-06,12165.423324264495,12192.914311151637,12112.038127891898,12171.423481559117,600851.6948037812,40.392757249824676,-51.341528672468485,0.05112815210754217,1.3729264422292387,0.0,0.0,0.1476921771749921,-0.9662051796913148,0.5,12137.9501953125
2020-02-07,12106.299701170008,12164.778914413626,12078.848448342394,12160.267892262735,541740.5452568115,42.73286163081845,-44.40784105663988,0.05048306697633236,1.8416704326950306,0.0,0.0,0.062972965122728,-0.962122082710266,0.5,12098.349609375
2020-02-10,12025.702381855237,12106.60955811446,12002.187948886352,12087.996639146155,485519.08427894127,43.91324682225933,-44.898808242491214,0.04930351632849264,1.320189807878669,-0.9683669209480286,-0.9683669209480286,-0.0794563675299287,-0.9668447375297546,0.9769864678382874,12031.5
2020-02-11,12108.622434066592,12158.332627602747,12073.346063590303,12116.107156934217,465613.96764723165,47.488667501335925,-38.157096792980155,0.046378708361232326,1.6280643065019529,0.0142171382904052,0.0166153088212013,0.15319879523168,-0.9668828845024108,0.6957079321146011,12107.900390625
2020-02-12,12203.294490219288,12224.072729770223,12153.653962443823,12159.233478711789,454841.4680390122,49.926599674012856,-24.88810360761454,0.04348737984740254,1.29632460273299,0.0,0.0,0.1098174596724064,-0.9669976830482484,0.5,12201.2001953125
2020-02-13,12169.919180456647,12248.801165951576,12143.133216208442,12195.60649754163,466568.1190508904,49.980131711715075,-16.87096153624043,0.039427571016518274,0.03695601930420178,0.8996036648750305,0.8996036648750305,0.0483804293815663,-0.967754364013672,0.07584710419178,12174.650390625
2020-02-14,12103.502812712533,12238.931347063992,12097.061882084136,12208.07744362631,549700.2399155744,49.13183670651032,-15.695634986561345,0.034760421134282,-0.023102752504999824,0.0,0.0,0.058675642971319,-0.960040271282196,0.5,12113.4501953125
2020-02-17,12059.877174023055,12146.711344608526,12017.074257358045,12123.826086557936,158191.8743376078,46.60473670116101,-18.076035391683035,0.033036844635816236,0.2841812568002755,0.0,0.0,-0.0128871383486499,-0.9675220847129822,0.5,12045.7998046875
2020-02-18,12031.154551457648,12058.567574424911,11951.374622724697,12037.745798383152,584221.5090031647,45.83161194327231,-22.02629009730299,0.0330682672206621,-0.639774532823767,0.942403256893158,0.942403256893158,0.0095791728954587,-0.9661576747894288,0.0485817678272724,11992.5
2020-02-19,12057.831298025907,12104.544963284272,11999.029606546645,12080.288586648268,518406.6891584731,53.0273436094855,-22.74214758945527,0.03258082891263645,-1.1919993597627854,0.0,0.0,0.0817982645498381,-0.954351246356964,0.5,12125.900390625
2020-02-20,12061.494578950924,12148.142285916634,12036.14672565757,12120.2279694487,511954.3324876291,60.431762316405894,-22.75160728769879,0.030983250270384777,-0.890922937925831,0.0,0.0,0.014873454408524,-0.9631016254425048,0.5,12080.849609375
2020-02-24,11928.287600323512,12043.789488411916,11911.964102017233,12020.355320994036,483713.2040132701,53.12185415086532,-33.125938881525144,0.03155715345623223,-1.4476405310121399,0.0,0.0,-0.002125920540413,-0.9633756279945374,0.5,11829.400390625
2020-02-25,11754.562536180647,11886.061413820065,11734.174093892101,11869.864566652435,463165.3229776724,42.571636741078485,-54.734882553255375,0.03822435265261511,-2.531656280049477,0.0,0.0,-0.0206599904269707,-0.9631540775299072,0.5,11797.900390625
2020-02-26,11667.245902312587,11757.824530821625,11629.126116343334,11752.365362449842,560324.7856868999,31.601090165702317,-78.00663676356453,0.046402352556660344,-3.024719261884734,0.0,0.0,-0.0416280209327375,-0.9666191935539246,0.5,11678.5
2020-02-27,11570.224712905638,11630.85310197105,11507.56240591306,11627.539122609194,673306.9990881501,20.565697677006796,-103.09011016577278,0.056273536241778985,-4.043899546016205,0.0,0.0,-0.0512795166228898,-0.9648448824882508,0.5,11633.2998046875
2020-02-28,11316.331017693099,11471.39696239869,11234.679400127558,11439.109718373433,705829.6868299209,17.24385910686064,-141.82121617971825,0.07545862185888776,-6.1780366966979745,0.0,0.0,-0.165052797208179,-0.9630820155143738,0.5,11201.75
2020-03-02,11114.158295779456,11355.217548998535,11016.332701158748,11291.69005941934,729026.6009061938,15.664519108757517,-186.6776421133327,0.09847498633904847,-6.82519848466745,0.0,0.0,-0.0458904851864023,-0.9574899673461914,0.5,11132.75
2020-03-03,11220.304258053156,11377.603831321898,11110.666099124393,11318.351558681903,709261.8964543397,17.11477721405396,-211.22670085870777,0.11171986132421585,-4.545114090660873,0.0,0.0,0.0051638805371236,-0.9516136646270752,0.5,11303.2998046875
2020-03-04,11346.484558960961,11400.124614203884,11230.260120334891,11352.61979783545,801808.1841913293,19.00428416597721,-217.9874869730229,0.11896332531270613,-2.749246446310405,0.0,0.0,-0.0949283888344379,-0.9623743295669556,0.5,11251.0
2020-03-05,11215.000186027566,11293.729359312978,11067.765690744316,11215.235669174112,1325965.782850681,17.74470603327093,-231.28899317154173,0.1275603963904577,-3.070161001124272,-0.4559190329164267,-0.9567990899086,-0.0487126694428489,-0.9655708074569702,0.5021598748862742,11269.0
2020-03-06,10945.333216175432,11091.212842863977,10782.89583468872,10980.218994042025,1795983.2138858673,15.602373084216097,-260.5865241908177,0.14069744188357555,-3.2784283257321856,0.0,0.0,-0.1954613524517326,-0.9613454937934875,0.5,10989.4501953125
2020-03-09,10596.479210499712,10774.510576537848,10522.310239285043,10747.840285001745,1608032.9663010775,13.207736530821336,-308.3995928302993,0.16367721437614602,-4.6578343721839,0.0,0.0,-0.1847038309272263,-0.963212251663208,0.5,10451.4501953125
2020-03-11,10264.782120658707,10434.684054713667,10218.313670600277,10429.701534704991,1256982.040002014,11.461609992663384,-368.80561567954464,0.194742426530993,-8.516009151076654,0.8657532334327698,0.8657532334327698,-0.0127164370136424,-0.962895929813385,0.4748899340629577,10458.400390625
2020-03-12,9792.229548778441,10211.684419823763,9445.755579025696,9838.012180191166,1257942.753849677,8.620368059174297,-449.6258602193466,0.23631254542132527,-13.698119466923675,0.0,0.0,-0.2130412485596187,-0.9610331654548644,0.5,9590.150390625
2020-03-13,9804.536536425432,10002.09290204778,8740.682322794233,9321.375680379355,1323130.2582183836,8.90798428506946,-506.84086920354275,0.26418361661274725,-12.576581597915515,0.0,0.0,-0.0664984092793681,-0.9658977389335632,0.5,9955.2001953125
